trans_id,account_id,type,amount,transaction_date,channel,city,state_name
463515,T00790495,A00002695,d,$82.89,01.07.17 03:39:21,c1,Baltimore,Maryland
463516,T00765674,A00002615,d,$1325.32,01.07.17 06:53:33,c3,Cranston,Rhode Island
463517,T00359465,A00001221,d,$1726.8,01.07.17 07:13:29,c3,Cheyenne,Wyoming
463518,T00735951,A00002513,d,$12.95,01.07.17 07:13:44,c2,Los Angeles,California
463519,T00698855,A00002390,d,$143.54,01.07.17 07:23:00,c2,New York City,New York
463520,T00092353,A00000313,d,$47.49,01.07.17 07:23:39,c4,New Britain,Connecticut
463521,T02820258,A00009337,c,$933.08,01.07.17 07:32:34,c2,Boise,Idaho
463522,T00395959,A00001346,c,$17.27,01.07.17 07:34:28,c3,Chicago,Illinois
463523,T00398408,A00001356,c,$94.97,01.07.17 07:51:27,c3,Charleston,South Carolina
463524,T00865434,A00002946,d,$47.49,01.07.17 08:07:59,c1,Houston,Texas
463525,T02108308,A00007136,d,$375.58,01.07.17 08:09:06,c2,Portland,Oregon
463526,T01144116,A00003913,d,$211.53,01.07.17 08:24:45,c2,Minneapolis,Minnesota
463527,T00300054,A00001022,c,$1919.9,01.07.17 08:43:52,c3,Salt Lake City,Utah
463528,T03047563,A00010105,c,$871.82,01.07.17 08:46:04,c3,Lowell,Massachusetts
463529,T01274502,A00004358,c,$1162.01,01.07.17 08:50:18,c3,Indianapolis,Indiana
463530,T01108372,A00003785,d,$181.31,01.07.17 09:03:48,c5,Detroit,Michigan
463531,T00820861,A00002795,d,$98.43,01.07.17 09:09:32,c2,Nashville,Tennessee
463532,T00875230,A00002982,d,$90.66,01.07.17 09:16:05,c2,Atlanta,Georgia
463533,T01122475,A00003834,d,$202.04,01.07.17 09:18:38,c4,Houston,Texas
463534,T00050583,A00000169,d,$129.51,01.07.17 09:24:46,c5,Charlotte,North Carolina
463535,T01071121,A00003659,d,$423.07,01.07.17 09:35:50,c2,Houston,Texas
463536,T00465132,A00001583,c,$2116.71,01.07.17 09:37:51,c2,Lawrence,Massachusetts
463537,T00319134,A00001089,d,$323.77,01.07.17 09:46:08,c4,Chicago,Illinois
463538,T00294914,A00001006,d,$32.38,01.07.17 09:49:00,c4,Seattle,Washington
463539,T00753177,A00002569,d,$48.35,01.07.17 09:53:00,c3,Jacksonville,Florida
463540,T00881178,A00003001,c,$319.46,01.07.17 09:54:54,c3,New York City,New York
463541,T00899240,A00003064,c,$319.46,01.07.17 09:58:50,c3,Fargo,North Dakota
463542,T00278853,A00000954,c,$107.92,01.07.17 10:02:45,c4,Chicago,Illinois
463543,T03386898,A00011244,c,$1426.94,01.07.17 10:05:35,c4,Salt Lake City,Utah
463544,T01265676,A00004328,d,$349.68,01.07.17 10:05:37,c3,Philadelphia,Pennsylvania
463545,T02035219,A00006897,c,$1092.2,01.07.17 10:11:38,c2,Worcester,Massachusetts
463546,T03037108,A00010068,d,$1238.98,01.07.17 10:18:15,c3,New York City,New York
463547,T01147580,A00003925,d,$64.76,01.07.17 10:20:09,c3,New York City,New York
463548,T00492239,A00001678,d,$820.23,01.07.17 10:23:46,c1,New York City,New York
463549,T00823899,A00002807,d,$1420.29,01.07.17 10:34:45,c4,Billings,Montana
463550,T00427748,A00001453,c,$477.33,01.07.17 10:35:37,c4,Fall River,Massachusetts
463551,T00424923,A00001442,d,$608.7,01.07.17 10:43:58,c2,Minneapolis,Minnesota
463552,T00708425,A00002425,d,$47.49,01.07.17 10:46:59,c2,Manchester,New Hampshire
463553,T00948453,A00003233,c,$626.96,01.07.17 10:51:27,c3,Des Moines,Iowa
463554,T00969836,A00003305,d,$133.83,01.07.17 10:55:15,c3,Oklahoma City,Oklahoma
463555,T01962859,A00006649,c,$1897.58,01.07.17 10:55:31,c3,New York City,New York
463556,T00932507,A00003181,c,$551.24,01.07.17 11:03:34,c3,Billings,Montana
463557,T00603226,A00002052,c,$168.36,01.07.17 11:05:02,c2,Fall River,Massachusetts
463558,T01562731,A00005313,c,$2146.2,01.07.17 11:08:57,c2,Fargo,North Dakota
463559,T00942932,A00003216,d,$608.7,01.07.17 11:16:29,c2,Columbus,Ohio
463560,T00238780,A00000816,c,$466.02,01.07.17 11:19:14,c1,New Haven,Connecticut
463561,T00511918,A00001751,d,$250.39,01.07.17 11:24:04,c4,Hartford,Connecticut
463562,T00305359,A00001040,d,$1653.41,01.07.17 11:26:12,c2,Atlanta,Georgia
463563,T00398837,A00001358,d,$116.56,01.07.17 11:32:42,c4,Charleston,South Carolina
463564,T00362327,A00001231,d,$168.36,01.07.17 11:34:26,c3,Denver,Colorado
463565,T00306347,A00001044,d,$470.55,01.07.17 11:53:51,c2,Las Vegas,Nevada
463566,T02489717,A00008212,d,$682.09,01.07.17 11:56:40,c3,New Haven,Connecticut
463567,T03117548,A00010345,d,$159.73,01.07.17 11:59:22,c3,Providence,Rhode Island
463568,T00847381,A00002885,d,$69.07,01.07.17 12:03:53,c3,New York City,New York
463569,T00803110,A00002737,d,$707.99,01.07.17 12:13:44,c2,Lawrence,Massachusetts
463570,T00428552,A00001456,c,$808.49,01.07.17 12:16:36,c2,Boston,Massachusetts
463571,T02857668,A00009455,d,$69.07,01.07.17 12:21:05,c3,New Britain,Connecticut
463572,T01165937,A00003995,d,$191.67,01.07.17 12:24:02,c2,Portland,Oregon
463573,T00832477,A00002835,c,$1039.71,01.07.17 12:40:26,c2,New Britain,Connecticut
463574,T00697104,A00002383,c,$418.75,01.07.17 12:40:50,c2,Cranston,Rhode Island
463575,T02908344,A00009633,d,$712.3,01.07.17 12:48:04,c3,Los Angeles,California
