trans_id,account_id,type,amount,transaction_date,channel,city,state_name
480806,T01614880,A00005483,d,$526.72,01.08.17 00:11:02,c2,Oklahoma City,Oklahoma
480807,T01958931,A00006636,d,$21.58,01.08.17 00:39:17,c2,Philadelphia,Pennsylvania
480808,T00855726,A00002915,d,$1277.83,01.08.17 03:59:32,c2,New Bedford,Massachusetts
480809,T00885787,A00003018,c,$761.35,01.08.17 04:33:06,c3,Little Rock,Arkansas
480810,T00572656,A00001948,d,$1696.58,01.08.17 04:53:42,c2,Phoenix,Arizona
480811,T00038480,A00000125,c,$1593.06,01.08.17 05:17:35,c2,Jacksonville,Florida
480812,T01137678,A00003887,c,$233.12,01.08.17 05:40:40,c2,Nashua,New Hampshire
480813,T00504399,A00001721,c,$60.44,01.08.17 06:20:18,c4,Cranston,Rhode Island
480814,T00315072,A00001075,c,$38.85,01.08.17 07:01:21,c2,Sioux Falls,South Dakota
480815,T00611031,A00002081,c,$444.65,01.08.17 07:01:29,c4,Providence,Rhode Island
480816,T01125900,A00003845,d,$677.77,01.08.17 07:16:40,c3,Worcester,Massachusetts
480817,T00016148,A00000054,d,$63.46,01.08.17 07:17:51,c2,Charlotte,North Carolina
480818,T00743022,A00002537,c,$1782.96,01.08.17 07:19:26,c3,San Antonio,Texas
480819,T00211279,A00000717,d,$505.09,01.08.17 07:23:40,c2,Rochester,New York
480820,T00043145,A00000144,d,$349.68,01.08.17 07:23:55,c3,Detroit,Michigan
480821,T00248823,A00000854,d,$276.29,01.08.17 07:29:22,c2,Nashua,New Hampshire
480822,T00748024,A00002551,d,$499.26,01.08.17 07:39:41,c4,Indianapolis,Indiana
480823,T00591456,A00002012,d,$107.06,01.08.17 07:42:26,c3,Charlotte,North Carolina
480824,T02885433,A00009548,d,$43.17,01.08.17 08:09:56,c4,Nashua,New Hampshire
480825,T01365981,A00004660,d,$86.34,01.08.17 08:13:46,c2,Norwalk,Connecticut
480826,T01311589,A00004478,d,$954.06,01.08.17 08:30:11,c3,Los Angeles,California
480827,T01033712,A00003534,d,$207.22,01.08.17 08:37:16,c2,Quincy,Massachusetts
480828,T00648816,A00002218,d,$204.5,01.08.17 08:44:00,c3,Atlanta,Georgia
480829,T00237291,A00000811,c,$12.95,01.08.17 09:01:50,c2,Las Vegas,Nevada
480830,T00101308,A00000345,d,$211.53,01.08.17 09:14:10,c2,Indianapolis,Indiana
480831,T00748130,A00002551,d,$99.29,01.08.17 09:20:11,c2,Indianapolis,Indiana
480832,T00626922,A00002140,c,$12.95,01.08.17 09:20:47,c3,Rochester,New York
480833,T00236392,A00000807,c,$237.44,01.08.17 09:24:15,c2,Yonkers,New York
480834,T01130784,A00003864,c,$1542.98,01.08.17 09:32:20,c3,Salt Lake City,Utah
480835,T00714843,A00002445,d,$1493.68,01.08.17 09:37:56,c3,New Haven,Connecticut
480836,T00641548,A00002190,c,$1046.31,01.08.17 09:38:40,c3,Manchester,New Hampshire
480837,T00124011,A00000417,c,$439.77,01.08.17 09:38:52,c4,New Britain,Connecticut
480838,T02834097,A00009377,d,$1476.41,01.08.17 09:43:09,c3,New York City,New York
480839,T01165509,A00003994,c,$567.86,01.08.17 09:43:54,c1,Louisville,Kentucky
480840,T00586683,A00001997,d,$94.97,01.08.17 09:47:38,c2,Chicago,Illinois
480841,T00578045,A00001967,d,$392.85,01.08.17 09:50:25,c2,Honolulu,Hawaii
480842,T01106004,A00003778,d,$129.51,01.08.17 09:51:35,c4,New Haven,Connecticut
480843,T02931881,A00009707,c,$453.28,01.08.17 09:52:11,c1,Los Angeles,California
480844,T00366118,A00001244,c,$8.63,01.08.17 09:54:30,c5,Cranston,Rhode Island
480845,T00274441,A00000940,d,$56.12,01.08.17 09:59:53,c2,Jackson,Mississippi
480846,T00517716,A00001768,d,$116.56,01.08.17 10:04:54,c3,Louisville,Kentucky
480847,T01117937,A00003819,d,$212.4,01.08.17 10:13:31,c3,Lawrence,Massachusetts
480848,T00286505,A00000982,d,$46.62,01.08.17 10:24:44,c4,Houston,Texas
480849,T00517243,A00001767,d,$134.69,01.08.17 10:29:39,c4,Omaha,Nebraska
480850,T01817776,A00006157,d,$241.75,01.08.17 10:30:24,c3,Little Rock,Arkansas
480851,T00731372,A00002499,d,$168.36,01.08.17 10:32:21,c1,Jacksonville,Florida
480852,T00451371,A00001534,c,$73.39,01.08.17 10:32:45,c4,New York City,New York
480853,T00586458,A00001996,d,$755.48,01.08.17 10:33:38,c4,Seattle,Washington
480854,T01077673,A00003681,d,$181.31,01.08.17 10:37:11,c2,Los Angeles,California
480855,T00771809,A00002633,d,$1329.64,01.08.17 10:37:12,c3,Wichita,Kansas
480856,T00080058,A00000268,d,$839.83,01.08.17 10:39:15,c2,Columbus,Ohio
480857,T00099190,A00000339,d,$222.58,01.08.17 10:44:18,c2,San Diego,California
480858,T02538662,A00008377,c,$600.06,01.08.17 10:46:16,c2,Newark,New Jersey
480859,T01504414,A00005129,d,$638.92,01.08.17 10:52:54,c4,Cranston,Rhode Island
480860,T00068185,A00000227,d,$403.34,01.08.17 10:55:08,c4,San Antonio,Texas
480861,T00642644,A00002194,d,$176.13,01.08.17 11:14:41,c3,Houston,Texas
480862,T00202824,A00000688,d,$59.57,01.08.17 11:17:17,c3,Chicago,Illinois
480863,T00486044,A00001656,d,$543.94,01.08.17 11:17:36,c3,Charleston,West Virginia
480864,T00922573,A00003144,d,$177.0,01.08.17 11:18:43,c5,Danbury,Connecticut
480865,T00490068,A00001672,d,$790.01,01.08.17 11:20:01,c3,Indianapolis,Indiana
480866,T01123533,A00003837,d,$585.51,01.08.17 11:30:52,c4,Worcester,Massachusetts
480867,T00047271,A00000158,d,$880.67,01.08.17 11:32:31,c3,Jackson,Mississippi
480868,T01091062,A00003729,d,$77.71,01.08.17 11:40:15,c2,Des Moines,Iowa
480869,T00857907,A00002924,d,$595.75,01.08.17 11:44:26,c2,Cambridge,Massachusetts
480870,T02305100,A00007606,d,$1502.32,01.08.17 12:01:08,c3,Omaha,Nebraska
480871,T00898593,A00003063,d,$37.56,01.08.17 12:10:45,c3,Philadelphia,Pennsylvania
480872,T01817726,A00006157,c,$442.15,01.08.17 12:12:33,c3,Little Rock,Arkansas
480873,T01155047,A00003951,d,$43.17,01.08.17 12:13:45,c3,Virginia Beach,Virginia
480874,T00258996,A00000886,d,$371.26,01.08.17 12:19:00,c3,New York City,New York
480875,T00614383,A00002094,d,$28.49,01.08.17 12:19:24,c3,New Britain,Connecticut
480876,T01051876,A00003597,d,$297.87,01.08.17 12:26:12,c2,New York City,New York
480877,T00457515,A00001554,d,$194.26,01.08.17 12:29:53,c5,Charleston,West Virginia
480878,T00373179,A00001270,d,$51.8,01.08.17 12:36:28,c4,Lowell,Massachusetts
480879,T00916583,A00003124,d,$384.21,01.08.17 12:41:17,c2,Seattle,Washington
480880,T00834570,A00002840,d,$518.04,01.08.17 12:43:59,c3,Louisville,Kentucky
480881,T00078843,A00000263,d,$561.21,01.08.17 12:48:55,c3,Phoenix,Arizona
480882,T00264940,A00000904,d,$1070.62,01.08.17 12:52:51,c4,New York City,New York
480883,T00512082,A00001752,d,$854.77,01.08.17 13:04:19,c2,Cranston,Rhode Island
480884,T01971207,A00006678,c,$541.44,01.08.17 13:16:09,c3,Houston,Texas
480885,T02393051,A00007894,c,$402.3,01.08.17 13:24:06,c4,San Antonio,Texas
480886,T01281361,A00004383,c,$232.47,01.08.17 13:35:02,c1,New Britain,Connecticut
480887,T00492480,A00001679,d,$284.92,01.08.17 13:36:04,c4,Cranston,Rhode Island
480888,T00957098,A00003260,d,$388.53,01.08.17 13:43:22,c2,Cranston,Rhode Island
480889,T00062052,A00000206,d,$191.67,01.08.17 14:01:42,c4,Fall River,Massachusetts
480890,T00448576,A00001525,d,$129.51,01.08.17 14:10:00,c2,New Bedford,Massachusetts
