trans_id,account_id,type,amount,transaction_date,channel,city,state_name
395179,T00948378,A00003232,d,$30.22,01.03.17 02:31:57,c3,Jackson,Mississippi
395180,T00209834,A00000712,d,$611.42,01.03.17 04:06:46,c4,Philadelphia,Pennsylvania
395181,T00319785,A00001092,d,$185.63,01.03.17 07:01:40,c3,Manchester,New Hampshire
395182,T01437124,A00004894,c,$276.29,01.03.17 07:04:55,c3,Las Vegas,Nevada
395183,T00528344,A00001802,d,$34.54,01.03.17 07:17:04,c4,Rochester,New York
395184,T00155893,A00000521,d,$418.75,01.03.17 07:17:55,c2,Boston,Massachusetts
395185,T01159254,A00003969,d,$474.87,01.03.17 07:23:46,c2,Charleston,South Carolina
395186,T03036186,A00010065,d,$323.77,01.03.17 07:41:02,c3,Yonkers,New York
395187,T00587934,A00002001,d,$507.64,01.03.17 07:41:15,c4,Rochester,New York
395188,T01203968,A00004119,c,$151.1,01.03.17 08:00:03,c3,Syracuse,New York
395189,T01151615,A00003938,d,$971.32,01.03.17 08:00:39,c4,New Bedford,Massachusetts
395190,T01391826,A00004743,c,$1539.27,01.03.17 08:08:06,c4,Phoenix,Arizona
395191,T01006450,A00003436,d,$9.07,01.03.17 08:16:51,c5,Indianapolis,Indiana
395192,T01466347,A00004994,d,$329.21,01.03.17 08:17:21,c2,New York City,New York
395193,T00779012,A00002655,d,$630.84,01.03.17 08:32:12,c2,New York City,New York
395194,T00227154,A00000772,d,$518.04,01.03.17 08:37:34,c1,Cheyenne,Wyoming
395195,T00296828,A00001012,d,$1012.34,01.03.17 08:42:03,c4,Newton,Massachusetts
395196,T00605990,A00002062,d,$444.65,01.03.17 08:52:52,c3,Los Angeles,California
395197,T00838338,A00002853,c,$164.05,01.03.17 09:09:03,c2,Houston,Texas
395198,T00046740,A00000155,c,$82.02,01.03.17 09:18:30,c1,Brockton,Massachusetts
395199,T02127373,A00007203,d,$452.08,01.03.17 09:22:40,c3,Somerville,Massachusetts
395200,T01542720,A00005250,d,$220.56,01.03.17 09:22:54,c4,Washington,District of Columbia
395201,T03098585,A00010280,d,$1204.44,01.03.17 09:26:01,c2,Lawrence,Massachusetts
395202,T00764617,A00002611,d,$811.6,01.03.17 09:39:44,c4,New York City,New York
395203,T00190332,A00000646,d,$228.8,01.03.17 09:46:02,c2,Springfield,Massachusetts
395204,T00344129,A00001166,d,$254.7,01.03.17 09:54:09,c2,Nashville,Tennessee
395205,T02454252,A00008092,d,$159.73,01.03.17 10:04:04,c4,Houston,Texas
