trans_id,account_id,type,amount,transaction_date,channel,city,state_name
427718,T00733353,A00002506,d,$864.65,01.05.17 00:53:37,c2,Virginia Beach,Virginia
427719,T01114703,A00003807,d,$155.41,01.05.17 03:16:09,c3,Hartford,Connecticut
427720,T00006061,A00000024,d,$207.22,01.05.17 07:04:36,c4,Chicago,Illinois
427721,T00902425,A00003074,d,$181.31,01.05.17 07:25:06,c3,Chicago,Illinois
427722,T00237550,A00000812,d,$160.59,01.05.17 07:42:59,c2,New York City,New York
427723,T00370507,A00001260,d,$134.69,01.05.17 08:00:56,c2,Indianapolis,Indiana
427724,T00082117,A00000274,d,$289.24,01.05.17 08:02:09,c4,Yonkers,New York
427725,T00487807,A00001663,d,$94.97,01.05.17 08:04:00,c1,Lowell,Massachusetts
427726,T00631977,A00002157,d,$207.22,01.05.17 08:04:15,c2,Syracuse,New York
427727,T00828103,A00002819,d,$375.58,01.05.17 08:17:11,c4,Sioux Falls,South Dakota
427728,T00268022,A00000917,d,$139.87,01.05.17 08:21:47,c1,Cambridge,Massachusetts
427729,T00827662,A00002818,d,$733.89,01.05.17 08:22:35,c1,Fargo,North Dakota
427730,T00859781,A00002929,d,$405.8,01.05.17 08:34:00,c4,Springfield,Massachusetts
427731,T02301798,A00007594,d,$1200.13,01.05.17 08:38:51,c3,Baltimore,Maryland
427732,T01008692,A00003445,d,$176.13,01.05.17 08:46:46,c4,New York City,New York
427733,T02043839,A00006927,d,$1415.98,01.05.17 08:48:36,c3,Chicago,Illinois
427734,T00395877,A00001345,d,$759.79,01.05.17 08:51:24,c2,Anchorage,Alaska
427735,T00871860,A00002970,d,$293.56,01.05.17 08:52:33,c1,Lynn,Massachusetts
427736,T00311777,A00001063,d,$120.88,01.05.17 09:05:23,c3,Cranston,Rhode Island
427737,T00990693,A00003377,d,$876.35,01.05.17 09:06:46,c4,Chicago,Illinois
427738,T00616525,A00002101,c,$8.63,01.05.17 09:13:42,c5,Boston,Massachusetts
427739,T00545694,A00001856,d,$63.46,01.05.17 09:16:35,c3,Honolulu,Hawaii
427740,T00535726,A00001824,d,$461.92,01.05.17 09:25:23,c4,New Haven,Connecticut
