trans_id,account_id,type,amount,transaction_date,channel,city,state_name
773568,T00144491,A00000484,d,$142.46,01.10.18 04:15:39,c4,New York City,New York
773569,T00632588,A00002160,d,$99.29,01.10.18 06:37:24,c2,Philadelphia,Pennsylvania
773570,T00734789,A00002510,d,$371.26,01.10.18 07:01:32,c4,Fall River,Massachusetts
773571,T02378909,A00007844,d,$971.32,01.10.18 07:08:46,c3,New York City,New York
773572,T01102563,A00003766,c,$898.89,01.10.18 07:11:33,c3,Newark,New Jersey
773573,T01784770,A00006051,c,$194.26,01.10.18 07:18:06,c2,Cambridge,Massachusetts
773574,T03327283,A00011053,c,$1800.19,01.10.18 07:21:49,c3,San Diego,California
773575,T00186244,A00000630,c,$164.05,01.10.18 07:24:09,c3,Somerville,Massachusetts
773576,T01129056,A00003858,d,$103.61,01.10.18 07:42:33,c2,Jacksonville,Florida
773577,T01679179,A00005692,d,$608.7,01.10.18 07:58:32,c3,Warwick,Rhode Island
773578,T01602937,A00005442,d,$375.58,01.10.18 08:02:17,c2,Little Rock,Arkansas
773579,T02464075,A00008127,c,$1662.43,01.10.18 08:03:33,c2,Jackson,Mississippi
773580,T02887747,A00009560,c,$2085.63,01.10.18 08:03:40,c4,New York City,New York
773581,T01652520,A00005602,d,$279.05,01.10.18 08:04:46,c2,Atlanta,Georgia
773582,T00457719,A00001555,d,$194.26,01.10.18 08:07:14,c2,Little Rock,Arkansas
773583,T03354010,A00011138,d,$1610.24,01.10.18 08:17:16,c2,Los Angeles,California
773584,T00672370,A00002296,d,$720.94,01.10.18 08:17:56,c2,Newark,New Jersey
773585,T00141317,A00000472,d,$1558.44,01.10.18 08:22:00,c4,Washington,District of Columbia
773586,T03084012,A00010227,d,$142.46,01.10.18 08:22:51,c4,Nashua,New Hampshire
773587,T00649012,A00002218,d,$189.95,01.10.18 08:23:52,c3,Atlanta,Georgia
773588,T01281524,A00004383,d,$152.56,01.10.18 08:24:36,c4,New Britain,Connecticut
773589,T00627121,A00002141,d,$690.72,01.10.18 08:26:00,c3,Omaha,Nebraska
773590,T00533927,A00001819,c,$1017.69,01.10.18 08:27:27,c3,Lowell,Massachusetts
773591,T00400859,A00001365,c,$17.27,01.10.18 08:31:30,c2,Billings,Montana
773592,T00953083,A00003249,d,$284.92,01.10.18 08:31:41,c4,Chicago,Illinois
773593,T00509857,A00001745,c,$995.93,01.10.18 08:37:07,c3,Hartford,Connecticut
773594,T01005194,A00003430,c,$125.19,01.10.18 08:45:15,c2,Boston,Massachusetts
773595,T03021768,A00010019,d,$695.04,01.10.18 08:46:32,c4,Washington,District of Columbia
773596,T00763263,A00002606,d,$96.7,01.10.18 08:51:28,c2,New York City,New York
773597,T00396057,A00001346,d,$36.26,01.10.18 08:56:37,c2,Chicago,Illinois
773598,T00087424,A00000291,d,$1251.93,01.10.18 09:00:59,c2,Denver,Colorado
773599,T01004238,A00003426,d,$582.79,01.10.18 09:13:22,c4,Boston,Massachusetts
773600,T00603975,A00002056,c,$947.11,01.10.18 09:14:41,c3,Brockton,Massachusetts
773601,T03281899,A00010904,d,$159.73,01.10.18 09:14:45,c4,Worcester,Massachusetts
773602,T00053358,A00000176,d,$2534.08,01.10.18 09:17:43,c3,Somerville,Massachusetts
773603,T00754910,A00002576,c,$1247.01,01.10.18 09:25:18,c1,New York City,New York
773604,T00364094,A00001237,d,$375.58,01.10.18 09:28:57,c5,Boston,Massachusetts
773605,T01156752,A00003957,d,$1381.44,01.10.18 09:38:11,c1,Salt Lake City,Utah
773606,T03021540,A00010019,c,$2117.19,01.10.18 09:39:40,c2,Washington,District of Columbia
773607,T00369159,A00001255,d,$168.36,01.10.18 09:40:13,c4,Cranston,Rhode Island
773608,T00055773,A00000186,c,$505.09,01.10.18 09:45:04,c5,New York City,New York
773609,T00736756,A00002516,d,$246.07,01.10.18 09:49:47,c4,Seattle,Washington
773610,T00287966,A00000987,d,$82.89,01.10.18 09:51:52,c5,Louisville,Kentucky
773611,T00610741,A00002079,d,$530.99,01.10.18 09:55:49,c2,Lowell,Massachusetts
773612,T00102667,A00000349,c,$56.12,01.10.18 10:00:56,c4,Philadelphia,Pennsylvania
773613,T01027059,A00003507,d,$89.06,01.10.18 10:03:32,c4,Boston,Massachusetts
773614,T03409670,A00011317,c,$1480.34,01.10.18 10:09:14,c3,Buffalo,New York
773615,T00662682,A00002262,c,$1243.21,01.10.18 10:16:36,c3,Oklahoma City,Oklahoma
773616,T00736974,A00002517,d,$807.28,01.10.18 10:17:31,c2,Lowell,Massachusetts
773617,T01102933,A00003767,d,$34.54,01.10.18 10:21:51,c2,New York City,New York
773618,T03299694,A00010963,d,$410.12,01.10.18 10:38:47,c3,Baltimore,Maryland
773619,T00093679,A00000319,c,$1161.96,01.10.18 10:43:58,c2,Charleston,West Virginia
773620,T00521695,A00001780,d,$103.61,01.10.18 10:50:00,c2,New York City,New York
773621,T01194930,A00004090,d,$34.54,01.10.18 10:55:59,c4,Philadelphia,Pennsylvania
773622,T03369371,A00011186,d,$77.71,01.10.18 11:04:12,c2,Portland,Oregon
773623,T00094067,A00000319,d,$759.79,01.10.18 11:04:13,c4,Charleston,West Virginia
773624,T03340910,A00011096,d,$401.48,01.10.18 11:09:01,c4,Anchorage,Alaska
773625,T00105699,A00000360,d,$863.4,01.10.18 11:11:00,c2,Birmingham,Alabama
773626,T00329840,A00001124,d,$653.85,01.10.18 11:17:17,c2,Honolulu,Hawaii
773627,T00656814,A00002244,d,$224.48,01.10.18 11:18:04,c2,San Diego,California
773628,T00542142,A00001843,d,$280.6,01.10.18 11:52:16,c4,Portland,Oregon
773629,T00090896,A00000307,d,$949.74,01.10.18 12:09:35,c3,Honolulu,Hawaii
773630,T00149950,A00000500,c,$1167.88,01.10.18 12:09:57,c4,Cambridge,Massachusetts
773631,T01142350,A00003906,c,$375.58,01.10.18 12:11:15,c4,New Haven,Connecticut
773632,T01121244,A00003830,d,$595.75,01.10.18 12:12:58,c2,Cambridge,Massachusetts
773633,T01101900,A00003763,d,$155.41,01.10.18 12:15:27,c3,Lowell,Massachusetts
773634,T00196631,A00000666,d,$202.9,01.10.18 12:29:15,c2,San Antonio,Texas
773635,T00653899,A00002236,d,$530.95,01.10.18 12:34:30,c4,New Britain,Connecticut
773636,T01747639,A00005927,c,$25.9,01.10.18 12:34:48,c3,Louisville,Kentucky
773637,T00378877,A00001288,d,$34.54,01.10.18 12:38:45,c2,Nashville,Tennessee
773638,T01017415,A00003476,c,$12.95,01.10.18 12:54:47,c2,Columbus,Ohio
773639,T00107012,A00000363,d,$543.94,01.10.18 13:00:30,c2,New York City,New York
773640,T00230389,A00000784,d,$124.33,01.10.18 13:01:58,c3,Quincy,Massachusetts
773641,T00692708,A00002367,d,$159.73,01.10.18 13:02:08,c5,Anchorage,Alaska
